"F002"; "0007"; "0202"; "2F"; "DD"; "03"; "09"; "0B"; Dezorian Cavern 1
"6001"; "6006"; "0202"; "30"; "ED"; "03"; "09"; "0B"; Dezorian Cavern 2
"2006"; "0001"; "0000"; "0F"; "C4"; "01"; "01"; "0B"; Baya Malay (Damoa)
"0003"; "3000"; "0101"; "1D"; "C7"; "03"; "07"; "0B"; Naharu Cave #2
"D002"; "7000"; "0202"; "2B"; "D1"; "00"; "08"; "0B"; Corona Tower
"A001"; "B005"; "0000"; "05"; "6D"; "02"; "01"; "0B"; Medusa's Tower #3
"2006"; "0001"; "0000"; "0B"; "B9"; "00"; "01"; "0B"; Baya Malay
"7005"; "3003"; "0202"; "2F"; "5D"; "01"; "09"; "0B"; Dezorian Cavern 5 #2
"B005"; "5000"; "0000"; "11"; "57"; "02"; "04"; "0B"; Naula Cave #3
"7001"; "0001"; "0A17"; "39"; "D6"; "00"; "06"; "0B"; Air Castle #1
"D002"; "7000"; "0202"; "2E"; "E4"; "03"; "08"; "0B"; Corona Tower #4
"7001"; "2002"; "0A17"; "0F"; "1C"; "01"; "00"; "0D"; Air Castle
"3002"; "6005"; "0101"; "23"; "C7"; "01"; "07"; "0B"; Tajima's Cave #2
"3002"; "6005"; "0101"; "22"; "AC"; "00"; "07"; "0B"; Tajima's Cave #3
"6001"; "1006"; "0406"; "02"; "5E"; "02"; "00"; "0D"; Parolit
"A001"; "B005"; "0000"; "08"; "63"; "02"; "01"; "0B"; Medusa's Tower #6
"3002"; "6005"; "0101"; "22"; "29"; "03"; "07"; "0B"; Tajima's Cave #3
"A001"; "B005"; "0000"; "0A"; "44"; "03"; "01"; "0B"; Medusa's Tower #8
"8000"; "2005"; "0202"; "32"; "DB"; "00"; "09"; "0B"; Dezorian Cavern 3
"7001"; "A000"; "070E"; "21"; "61"; "00"; "00"; "0D"; Paseo (Governor)
"0003"; "3000"; "0101"; "1C"; "93"; "00"; "07"; "0B"; Naharu Cave #3
"1003"; "3001"; "0814"; "31"; "1C"; "01"; "00"; "0D"; Twintown (Surface)
"0007"; "1004"; "0000"; "12"; "C3"; "02"; "04"; "0B"; Scion Cave #2
"D004"; "3003"; "0000"; "02"; "5E"; "02"; "00"; "0D"; Palma near Camineet
"4002"; "6001"; "0405"; "02"; "5E"; "02"; "00"; "0D"; Camineet Spaceport
"5002"; "5001"; "0507"; "00"; "2E"; "00"; "00"; "0D"; Gothic
"7001"; "0001"; "0A17"; "36"; "B4"; "01"; "06"; "0B"; Air Castle #4
"D002"; "7000"; "0202"; "2C"; "78"; "02"; "08"; "0B"; Corona Tower #2
"0007"; "1004"; "0000"; "10"; "D2"; "03"; "04"; "0B"; Scion Cave #4
"1003"; "1001"; "0814"; "28"; "DD"; "00"; "0A"; "0B"; Twintown Entrance
